미국 망명 시도 중 체포된 홍콩 학생운동가 토니 청," 홍콩 학생 운동가 토니 청이 지난 2017년 11월24일 홍콩에서 시위 도중 구호를 외치는 모습.	 홍콩 독립을 주장하는 학생운동단체 '학생동원'의 대표였던 토니 청은 27일 미국 망명을 시도하다 홍콩주재 미국 영사관 맞은편 커피숍에서 체포됐다.	 이날 홍콩 경찰은 소셜미디어를 통해 국가 정권 전복을 획책한 토니 청을 포함한 청년 3명을 홍콩보안법 위반 혐의로 체포했다고 밝혔다.	      <저작권자 연합뉴스, 무단 전재-"
이슬람학교 폭발 현장 조사하는 파키스탄 경찰," 27일 파키스탄 북서부 폐샤와르 외곽의 한 이슬람학교에서 강력한 폭발이 발생해 경찰과 구조대원들이 현장을 조사하고 있다.	 파키스탄 언론은 이 폭발로 최소 8명이 사망하고 136명이 부상했다고 보도했다.	     <저작권자 연합뉴스, 무단 전재-"
경찰과 대치하는 방글라데시의 반(反) 프랑스 시위대," 27일 방글라데시 수도 다카에서 가두행진에 나선 반 프랑스 시위대가 경찰과 대치하고 있다.	 이슬람권 국가들은 에마뉘엘 마크롱 프랑스 대통령이 이슬람 선지자 무함마드에 대한 풍자를 표현의 자유로 옹호하자 프랑스 제품 불매 운동을 촉구하는 등 강하게 반발하고 있다.	     <저작권자 연합뉴스, 무단 전재-"
Capitol Arrests,A look at the charges made against protesters
"경찰과 충돌한 토리노의 ""코로나19 제한 조치"" 항의 시위대"," 26일 이탈리아 토리노에서 신종 코로나바이러스 감염증 확산 방지를 위한 정부의 제한 조처에 항의하는 시위대와 경찰이 충돌한 가운데 연기가 피어 오르고 있다.	 이날 밤 수도 로마와 토리노 등 이탈리아 주요 대도시에서는 야간 통행금지, 식당·주점 영업시간 단축 등 당국의 제한 조처에 반대하는 시위가 동시다발적으로 진행됐다.	     <저작권자 연합뉴스, 무단 전재-"
"""코로나19 규제"" 항의 시위 진압 중 화염에 휩싸인 이탈리아 경찰"," 24일 이탈리아 로마에서 신종 코로나바이러스 감염증 규제에 항의하는 극우단체 '포르자 누오바'의 시위대와 충돌하던 한 경찰관이 불길에 휩싸여 있다.	 코로나19로 비상인 이탈리아 정부는 롬바르디아, 라치오, 캄파니아 등 3개 주에서 밤 11시부터 다음날 오전 5시까지 야간통행을 금하고 있으며 조만간 음식점과 주점 등의 영업도 제한할 방침이다.	      <저작권자 연합뉴스, 무단 전재-"
"""코로나19 야간통금"" 단속하는 이탈리아 경찰"," 신종 코로나바이러스 감염증 재확산으로 비상인 이탈리아 롬바르디아주 밀라노 중심가에서 22일 경찰이 야간통행을 단속하기 위해 순찰을 하고 있다.	 이탈리아에서 코로나19 확산세가 가장 심한 롬바르디아주는 이날부터 야간통금에 들어갔다.	 시간대는 밤 11시부터 다음날 오전 5시까지다.	     <저작권자 연합뉴스, 무단 전재-"
배럿 대법관 인준 반대 시위대 연행하는 미 경찰," 22일 미국 워싱턴DC 국회의사당의 '더크슨 상원 건물' 앞에서 미국 드라마 '핸드메이즈 테일'에 나오는 시녀 차림으로 에이미 코니 배럿 연방대법관 지명자의 인준을 반대하는 시위대를 경찰이 연행하고 있다.	 미국 상원 법사위원회는 이날 공화당 의원만 참석한 가운데 도널드 트럼프 대통령이 지명한 배럿 지명자의 인준안을 통과시켰다.	      <저작권자 연합뉴스, 무단 전재-"
시위대 폭행하는 나이지리아 경찰," 21일 나이지리아의 최대 도시 라고스의 레키 톨게이트 인근에서 경찰이 시위 참가자를 폭행하고 있다.	 나이지리아 전국 주요 도시에서 경찰의 가혹행위에 항의하는 시위가 2주 넘게 이어지는 가운데 이날 라고스에는 24시간 통행금지령이 내려졌다.	     <저작권자 연합뉴스, 무단 전재-"
경찰 가혹행위 항의하는 나이지리아 시위대," 21일 아프리카 나이지리아의 최대 도시 라고스의 레키 톨게이트 인근에서 시민들이 경찰의 가혹행위에 항의해 시위를 벌이고 있다.	 나이지리아 전국 주요 도시에서 경찰 개혁을 요구하는 시위가 2주 넘게 이어지는 가운데 전날 라고스에서 보안군이 반정부 시위대에 발포해 사망자가 발생했다.	     <저작권자 연합뉴스, 무단 전재-"
경찰 물대포에 쫓기는 칠레 시위대, 18일 칠레 수도 산티아고의 중심가에서 반정부 시위대가 경찰이 쏘는 물대포를 피해 달리고 있다.	 칠레에서는 30여명이 숨졌던 '시위 사태' 1주년을 맞아 불평등에 항의하는 반정부 시위가 다시 번지고 있다.
체코 프라하에서 충돌한 코로나19 봉쇄 항의 시위대와 경찰," 18일 체코 수도 프라하의 구시가 광장에서 신종 코로나바이러스 감염증 확산을 막기 위한 정부의 제한 조치에 항의하는 시위대가 경찰과 충돌하고 있다.	 체코 정부는 코로나19가 확산하자 최근 학교와 식당, 술집 문을 닫고 공공장소에서 마스크 착용을 의무화하는 등의 조치를 취했다."
야간 통금 발효된 파리 시내 순찰하는 경찰관들, 17일 신종 코로나바이러스 감염증 확산을 막기 위해 야간 통금이 발효된 프랑스 파리의 거리에서 경찰관들이 순찰을 하고 있다.	 프랑스 정부는 파리를 비롯한 야간 통금 대상 지역에 1만2천명의 경찰관을 추가 배치했다.
Britain Weather,"A woman runs with a dog through snow near Buxton, central England, Friday Jan.	 8, 2021.	 Forecasters predict that the cold spell affecting much of the UK is due to continue, with temperatures expected to remain slightly below average into next week."
